State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 84,85+
Alabama,3061743,380124,326803,293440,265240,243006,234242,213437,217660,191974,161656,135506,110774,89233,86977,54599,48705,8367
Arizona,749587,92725,78957,67395,57247,56918,59073,56400,56406,49785,41586,35173,29722,23959,19163,12284,10802,1992
Arkansas,1909511,228279,202063,179485,159765,134802,131082,124709,129072,120880,108015,91813,83144,67407,62715,41289,38956,6035
California,10586223,1099112,847591,652869,629744,773170,924910,887185,862834,763973,674043,603462,521689,450636,368379,250046,234026,42554
Colorado,1325089,148275,116442,99364,96320,102873,109354,99891,94663,85476,74038,67698,61577,53526,44836,32182,32565,6009
Connecticut,2007280,194580,160680,121606,121658,144358,167625,172658,161012,141186,124245,118976,110347,91525,71242,48982,47821,8779
Delaware,318085,33237,26845,21875,20877,23173,26824,26727,24737,22143,19384,17961,15302,12680,10404,7301,7249,1366
District of Columbia,802178,71353,49469,40039,45411,71721,84549,74377,71693,63260,54792,49678,39324,29825,23338,15751,15017,2581
Florida,2771305,290745,238229,196829,182336,212691,224906,215719,215648,196505,173485,150722,127509,108507,99490,67565,60851,9568
Georgia,3444578,422486,355208,311293,291806,276193,276270,255385,254264,219640,182855,153118,126309,100096,95556,60606,54540,8953
Idaho,588637,72633,61579,52457,44825,41382,44103,44046,42163,37034,30706,27221,24781,22170,18019,12346,11233,1939
Illinois,8712176,842842,684347,565347,542280,639444,712531,691503,678289,622686,569734,528615,479109,401148,311223,207718,200356,35004
Indiana,3934224,422058,342866,288473,268034,300961,319721,292969,280012,254908,230512,212783,192925,166976,141464,99560,102055,17947
Iowa,2621073,280269,226374,199225,184168,189788,192843,180966,174179,162146,151624,147203,139047,120243,100809,75640,80921,15628
Kansas,1905299,199882,161677,137590,136495,141009,147470,134685,130224,123103,111747,104950,96745,85504,72735,54275,56438,10770
Kentucky,2944806,346006,295383,267054,247783,226231,223963,200040,196458,177177,159085,142306,123922,104155,93069,65512,65765,10897
Louisiana,2683516,334466,275105,235359,209922,212884,213003,192202,192922,175051,153951,126887,103532,81383,78961,46687,43553,7648
Maine,913774,99678,82366,71410,70423,66659,66240,61966,60206,57186,51593,49748,44344,38393,33952,26019,28290,5301
Maryland,2343001,258252,205897,161703,155620,187272,213885,199309,184729,162930,140050,125206,102064,82570,66539,45359,44022,7594
Massachusetts,4690514,448816,364753,295507,308506,351612,373757,357956,342257,317850,291766,286920,261480,220898,181156,130527,132729,24024
Michigan,6371766,703861,568686,471971,431106,491167,538093,504726,473313,424608,386068,350056,312685,253776,191973,127680,120310,21687
Minnesota,2982483,332460,267652,223787,207460,213712,220780,212765,205447,189729,176212,170805,157690,134854,105188,73705,75332,14905
Mississippi,2178914,283349,239069,217443,195088,168240,151959,137215,144883,133636,115211,96623,78975,64259,66124,41260,38713,6867
Missouri,3954653,384391,322288,279534,272330,280534,296251,276758,284299,275074,252646,232304,210056,180800,157654,112868,115894,20972
Montana,591024,68201,55357,46534,40640,41716,44181,45290,43063,37552,32160,28714,28812,27940,21940,13947,12692,2285
Nebraska,1325510,140169,110805,97710,97265,98877,99135,90629,89661,85161,77507,75847,70790,61575,49987,35673,37183,7536
Nevada,160083,16958,13523,10944,9444,11015,13359,13869,14012,12402,10694,9117,7545,6215,4747,3160,2642,437
