State,Total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+
United States,308745538,20201362,20348657,20677194,22040343,21585999,21101849,19962099,20179642,20890964,22708591,22298125,19664805,16817924,12435263,9278166,7317795,5743327,5493433
Alabama,4779736,304957,308229,319655,343471,335322,311034,297888,308430,311071,346369,347485,311906,276127,209637,160864,122836,88771,75684
Alaska,710231,53996,50887,50816,52141,54419,55419,47706,45833,47141,54726,56300,49971,35938,22202,13148,8892,5985,4711
Arizona,6392017,455715,453680,448664,461582,442584,439998,416695,415693,406801,427022,415524,375268,350960,282866,215026,162261,118278,103400
Arkansas,2915918,197689,196877,197559,203805,199650,192153,183739,183614,182594,205544,201722,183960,167031,133367,101235,77741,56236,51402
California,37253956,2531333,2505839,2590930,2823940,2765949,2744409,2573468,2573579,2609131,2689819,2562552,2204296,1832197,1303558,971778,766971,603239,600968
Colorado,5029196,343960,348603,332654,339475,348615,372459,353819,353605,346039,371635,371063,328364,269280,182492,127468,96908,73144,69613
Connecticut,3574097,202106,222571,240265,250834,227898,214145,206232,222401,262037,291272,284325,240157,203295,149281,105663,89252,77465,84898
Delaware,897934,55886,56486,56848,64583,62867,57603,53814,55329,60758,67556,65998,57816,53113,41809,30644,23885,17195,15744
District of Columbia,601723,32613,26147,25041,39919,64110,69649,55096,42925,37734,38539,37164,34274,29703,21488,15481,11820,9705,10315
Florida,18801310,1073506,1080255,1130847,1228382,1228758,1179227,1110318,1178467,1252787,1401202,1340291,1202418,1135250,959233,768707,615514,482023,434125
Georgia,9687653,686785,695161,689684,709999,680080,673935,661625,698059,699481,722661,668591,573551,496006,356007,250422,182735,129048,113823
Hawaii,1360301,87407,83361,81539,85994,95829,97302,88031,86756,89617,95787,97978,93340,82222,59170,41353,34675,29702,30238
Idaho,1567582,121772,121195,116955,115359,108209,106734,102231,96845,94764,103560,104977,96997,83316,63428,46106,34278,25614,25242
Illinois,12830632,835577,859405,879448,922092,878964,910273,865684,855790,870100,940094,930785,807778,665429,485060,364475,289385,235381,234912
Indiana,6483802,434075,444821,452171,475515,452026,419530,407815,417011,423819,473946,472822,418515,350628,259057,193278,151843,121658,115272
Iowa,3046355,202123,200646,200904,216837,213350,197843,184740,177148,187400,216482,223244,204393,168357,124365,100291,83387,70187,74658
Kansas,2853118,205492,202447,198884,203821,204454,197783,179937,172388,174285,201830,204434,182512,148735,107755,82634,69466,56943,59318
Kentucky,4339367,282367,282888,284154,296795,289968,285296,280920,285411,291251,323642,319455,288027,250966,185664,139650,105392,78313,69208
Louisiana,4533372,314260,306362,306836,326779,338309,332925,295508,276479,288120,325046,329329,292567,242995,178365,133629,102876,77301,65686
Maine,1328361,69520,74116,79013,88310,79646,72681,71943,79905,91471,107619,110956,102441,89660,65014,47637,38894,30399,29136
Maryland,5773552,364488,366868,379029,406241,393698,393548,368494,377409,418163,461585,440619,377989,317779,226596,159761,124579,98580,98126
Massachusetts,6547629,367087,385687,405613,462756,475668,441525,403616,418195,468954,515434,497001,432822,370547,264459,192001,162592,138473,145199
Michigan,9883640,596286,637784,675216,739599,669072,589583,574566,612493,665481,744581,765452,683186,568811,418625,306084,244085,200855,191881
Minnesota,5303925,355504,355536,352342,367829,355651,372686,342900,328190,352904,406203,401695,349589,279775,202570,151857,122114,99916,106664
Mississippi,2967297,210956,205672,208248,224619,210894,199082,188171,187368,187579,208369,208607,186569,160756,120523,93946,69876,51703,44359
Missouri,5988927,390237,390463,396925,423786,413289,403239,372228,368070,380546,444766,443806,389985,333293,257053,193437,155271,118754,113779
Montana,989415,62423,60765,61124,66724,67138,64123,58741,55575,57370,71021,78811,75915,62943,46556,34186,25637,20342,20021
Nebraska,1826341,131908,128928,122706,128930,129276,129076,116100,110361,110477,128491,130235,117686,95490,68834,54292,46435,37808,39308
Nevada,2700551,187478,183077,183173,182600,177509,196644,190642,191652,191391,193790,182737,164575,150924,115501,82280,57503,38888,30187
New Hampshire,1316470,69806,77756,84620,93620,84546,73121,71351,82152,97026,113564,112397,96289,81954,57176,39586,31774,24971,24761
New Jersey,8791894,541020,564750,587335,598099,541238,553139,556662,588379,649918,704516,674680,565623,480542,350972,260462,215715,179233,179611
New Mexico,2059179,144981,143308,141691,149861,142370,139678,127567,123303,125220,144839,147170,136799,120137,87890,65904,50230,36238,31993
New York,19378102,1155822,1163955,1211456,1366278,1410935,1380177,1279160,1254124,1355893,1458763,1419928,1237408,1066260,773211,587391,474807,391660,390874
North Carolina,9535483,632040,635945,631104,659591,661573,627036,619557,659843,667308,698753,669893,600722,538039,403024,294543,223655,165396,147461
North Dakota,672591,44595,40076,39790,47474,58956,49596,40889,37065,38197,46380,50277,45946,35873,26028,20845,18368,15548,16688
Ohio,11536504,720856,747889,774699,823682,763116,718630,691329,718462,761369,855134,887057,786857,665409,478864,371370,297519,243833,230429
Oklahoma,3751351,264126,259336,253664,264484,269242,265737,241018,232742,228195,261242,264369,235969,204513,159392,121075,95051,69284,61912
Oregon,3831074,237556,237214,242553,254860,253048,265033,259111,251163,248362,262879,276196,273423,236143,169847,120194,91601,74019,77872
Pennsylvania,12702379,729538,753635,791151,905066,874146,781527,729592,764287,851382,955763,984641,879048,743296,553002,426536,362332,311761,305676
Rhode Island,1052567,57448,60440,63824,80046,82167,65799,61163,63730,73130,81300,81050,70634,59955,42802,31077,26645,24607,26750
South Carolina,4625364,302297,295853,297286,328989,332494,304378,287678,296682,304610,332766,326662,303240,280555,215561,153482,113248,78866,70717
South Dakota,814180,59621,55531,53960,57628,57596,55570,49859,45766,47346,57519,59399,54231,43573,31944,25683,21724,18004,19226
Tennessee,6346105,407813,412181,418941,437186,426244,417683,406314,423622,430508,467087,459349,414991,370724,280538,206536,154517,111954,99917
Texas,25145561,1928473,1928234,1881883,1883124,1817079,1853039,1760434,1763587,1694795,1760467,1674869,1422924,1174767,853100,619156,477245,347206,305179
Utah,2763885,263924,249572,227951,221090,226519,229554,216133,178401,154074,154831,152133,133122,107119,79480,58744,45835,34412,30991
Vermont,625741,31952,34654,37637,46012,43851,35441,34181,36358,42001,50110,52493,48739,41234,29390,20148,15960,12783,12797
Virginia,8001024,509625,511849,511246,550965,572091,564342,526077,540063,568865,621155,592845,512595,442369,320302,229502,173929,130801,122403
Washington,6724540,439657,429877,438233,462128,461512,480398,453383,448607,459698,492909,495296,453078,382087,270474,186746,142068,111118,117271
West Virginia,1852994,104060,106016,109045,120092,117204,108444,112254,117136,120358,132924,143232,139368,125457,91728,71792,54725,43238,35921
Wisconsin,5686986,358443,368617,375927,399209,386552,372347,349347,345328,380338,437627,436126,385986,313825,227029,173467,141252,117061,118505
Wyoming,563626,40203,37213,35955,38142,40318,41276,36373,33861,33105,39472,44105,40946,32567,22974,16594,12492,9428,8602
